//GVG_006;mage;None;Hold:2;GIL_548/LOOT_108

//偶数萨
//风怒
CS2_039;shaman;None;Discard:2;/
//连环爆裂
GVG_038;shaman;None;Discard:2;/
//青玉之爪
CFM_717;shaman;None;Hold:1;/
//图腾魔像
AT_052;shaman;None;Hold:2;/
//自动漩涡打击装置
GVG_037;shaman;None;Hold:2;/
//阴燃电鳗
GIL_530;shaman;None;Hold:2;/
//深渊魔物
OG_028;shaman;None;Discard:2;/
//恐狼前锋
EX1_162;shaman;None;Discard:2;/
//先祖知识
AT_053;shaman;None;Discard:2;/
//大漩涡传送门
KAR_073;shaman;pala;Hold:1;/
KAR_073;shaman;mage;Discard:2;/
KAR_073;shaman;priest;Discard:2;/
KAR_073;shaman;hunter;Hold:1;/
KAR_073;shaman;warrior;Discard:2;/
KAR_073;shaman;warlock;Discard:2;/
KAR_073;shaman;shaman;Discard:2;/
KAR_073;shaman;druid;Discard:2;/
KAR_073;shaman;thief;Hold:1;/
//衰变
CFM_696;shaman;pala;Hold:1;/
CFM_696;shaman;mage;Discard:2;/
CFM_696;shaman;priest;Discard:2;/
CFM_696;shaman;hunter;Discard:2;/
CFM_696;shaman;warrior;Discard:2;/
CFM_696;shaman;warlock;Hold:1;/
CFM_696;shaman;shaman;Discard:2;/
CFM_696;shaman;druid;Discard:2;/
CFM_696;shaman;thief;Discard:2;/

//舔舔魔杖
TRL_352;shaman;None;Discard:2;/
//沙暴元素
ULD_158;shaman;None;Discard:2;/
//图腾潮涌
ULD_171;shaman;None;Discard:2;/
//奥秘吞噬者
OG_254;shaman;mage;Hold:1;/
//静电震击
GIL_600;shaman;None;Discard:2;/

//****野兽猎*****
//蜡烛弓
LOOT_222;hunter;None;Hold:1;/
//杀戮命令
EX1_539;hunter;None;Discard:2;/
//荒野的复仇
TRL_566;hunter;None;Discard:1;/
//关门放狗
EX1_538;hunter;mage;Discard:2;/
EX1_538;hunter;priest;Discard:2;/
EX1_538;hunter;hunter;Discard:2;/
EX1_538;hunter;warrior;Discard:2;/
EX1_538;hunter;warlock;Discard:2;/
EX1_538;hunter;shaman;Discard:2;/
EX1_538;hunter;druid;Discard:2;/
EX1_538;hunter;thief;Discard:2;/
EX1_538;hunter;pala;Hold:1;/
//铁喙猫头鹰
CS2_203;hunter;None;Discard:1;/
//森林狼
DS1_175;hunter;None;Discard:1;/
//主人的召唤
TRL_339;hunter;None;Discard:2;/
//猎头者之斧
TRL_111;hunter;None;Hold:1;/
//主人的召唤
TRL_339;hunter;None;Hold:1;/
//凶恶的鳞皮兽
GIL_143;hunter;None;Discard:2;/
//致命射击
EX1_617;hunter;None;Discard:2;/
//急速射击
DAL_373;hunter;None;Hold:1;/

//********机械猎*******
//追踪术
DS1_184;hunter;None;Hold:1;/
//机械巨熊
DAL_604;hunter;None;Discard:2;/
//投掷炸弹
BOT_033;hunter;None;Hold:1;/
BOT_033;hunter;None;Discard:2;BOT_907/
//烟火技师
BOT_038;hunter;None;Discard:2;/
//九命兽魂
DAL_377;hunter;None;Discard:2;/
//机核芯片
BOT_438;hunter;None;Discard:2;/
//关门放狗
EX1_066;hunter;mage;Discard:2;/
EX1_066;hunter;priest;Discard:2;/
EX1_066;hunter;hunter;Hold:1;/
EX1_066;hunter;warrior;Hold:1;/
EX1_066;hunter;warlock;Discard:2;/
EX1_066;hunter;shaman;Discard:2;/
EX1_066;hunter;druid;Discard:2;/
EX1_066;hunter;thief;Hold:1;/
EX1_066;hunter;pala;Hold:1;/

//齿轮大师
GVG_013;hunter;None;Discard:2;/
//可靠的灯泡
BOT_079;hunter;None;Discard:2;/
//机械袋鼠
BOT_445;hunter;None;Hold:1;/
//吵吵机器人
GVG_085;hunter;None;Hold:1;/
//毒箭机器人
BOT_035;hunter;None;Discard:2;/
//可升级机器人
BOT_309;hunter;None;Hold:1;/
//通电机器人
BOT_907;hunter;None;Hold:2;/
//金刚刃牙兽
GVG_048;hunter;None;Discard:2;/
//蜘蛛炸弹
BOT_251;hunter;None;Discard:2;/
//大铡蟹
BOT_700;hunter;None;Discard:2;/


//******奇数贼*****
//刀扇
EX1_129;thief;None;Discard:2;/
//致命药膏
CS2_074;thief;None;Discard:2;/
CS2_074e;thief;None;Discard:2;/
//猫头鹰
CS2_203;thief;pala;Hold:1;/
CS2_203;thief;hunter;Discard:2;/
CS2_203;thief;warlock;Hold:1;/
CS2_203;thief;mage;Discard:2;/
CS2_203;thief;priest;Discard:2;/
